nationality,year,Count
American,2024,1
American,2023,1
American,2015,1
American,2007,1
American,2006,1
American,1993,1
American,1989,1
American,1988,1
American,1987,1
American,1986,1
American,1985,1
American,1984,1
American,1983,2
American,1982,2
American,1981,3
American,1980,3
American,1979,1
American,1978,5
American,1977,3
American,1976,2
American,1975,3
American,1974,3
American,1973,2
American,1972,4
American,1971,6
American,1970,4
American,1969,2
American,1968,3
American,1967,4
American,1966,5
American,1965,5
American,1964,7
American,1963,11
American,1962,10
American,1961,9
American,1960,44
American,1959,43
American,1958,39
American,1957,36
American,1956,35
American,1955,37
American,1954,45
American,1953,41
American,1952,34
American,1951,36
American,1950,35
American-Italian,1961,1
American-Italian,1960,1
Argentine,2001,1
Argentine,2000,1
Argentine,1998,1
Argentine,1997,1
Argentine,1989,1
Argentine,1988,1
Argentine,1982,1
Argentine,1981,3
Argentine,1980,2
Argentine,1979,2
Argentine,1978,1
Argentine,1977,1
Argentine,1976,1
Argentine,1975,1
Argentine,1974,1
Argentine,1973,1
Argentine,1972,1
Argentine,1963,1
Argentine,1962,1
Argentine,1960,5
Argentine,1958,2
Argentine,1957,3
Argentine,1956,3
Argentine,1955,7
Argentine,1954,7
Argentine,1953,8
Argentine,1952,2
Argentine,1951,3
Argentine,1950,3
Argentine-Italian,1959,1
Argentine-Italian,1957,1
Australian,2024,2
Australian,2023,2
Australian,2022,1
Australian,2021,1
Australian,2020,1
Australian,2019,1
Australian,2018,1
Australian,2017,1
Australian,2016,1
Australian,2015,1
Australian,2014,1
Australian,2013,2
Australian,2012,2
Australian,2011,2
Australian,2010,1
Australian,2009,1
Australian,2008,1
Australian,2007,1
Australian,2006,1
Australian,2005,1
Australian,2004,1
Australian,2003,1
Australian,2002,1
Australian,1994,1
Australian,1990,2
Australian,1986,1
Australian,1985,1
Australian,1983,1
Australian,1981,1
Australian,1980,1
Australian,1979,1
Australian,1978,1
Australian,1977,4
Australian,1976,3
Australian,1975,2
Australian,1974,3
Australian,1973,1
Australian,1972,2
Australian,1971,2
Australian,1970,2
Australian,1969,1
Australian,1968,2
Australian,1967,1
Australian,1966,1
Australian,1965,3
Australian,1964,2
Australian,1963,1
Australian,1962,1
Australian,1961,1
Australian,1960,1
